AnswerID,Athlete_ID,Date,Score_Ans1,Score_Ans2,Score_Ans3,Score_Ans4,Score_Ans5,Total Score,QuestionSetID
00000,00579,2021-08-23,5,2,10,9,4,6.0,00002
00001,00644,2021-11-07,7,9,0,9,7,6.4,00002
00002,00215,2021-10-13,8,3,2,8,4,5.0,00002
00003,00401,2021-06-05,1,7,6,1,0,3.0,00002
00004,00271,2021-09-03,8,7,9,10,0,6.8,00002
00005,00612,2021-03-29,3,10,1,10,8,6.4,00002
00006,00670,2021-10-07,8,1,1,8,3,4.2,00002
00007,00068,2021-03-11,5,5,9,1,9,5.8,00002
00008,00195,2021-02-14,9,5,8,0,0,4.4,00002
00009,00868,2021-07-14,2,8,4,1,7,4.4,00002
00010,00328,2021-04-13,3,6,2,9,8,5.6,00002
00011,00468,2021-05-19,6,8,5,0,7,5.2,00002
00012,00103,2021-10-02,8,3,0,9,9,5.8,00002
00013,00327,2021-06-21,4,10,7,6,6,6.6,00002
00014,00710,2021-10-31,9,1,3,0,7,4.0,00002
00015,00017,2021-03-09,7,5,10,4,4,6.0,00002
00016,00237,2021-08-23,4,6,3,6,1,4.0,00002
00017,00931,2021-09-02,5,6,10,4,4,5.8,00002
00018,00960,2021-09-11,4,7,3,10,6,6.0,00002
00019,00655,2021-05-01,5,5,10,5,5,6.0,00002
00020,00749,2021-11-06,6,5,6,3,2,4.4,00002
00021,00684,2021-04-15,9,0,8,3,9,5.8,00002
00022,00197,2021-11-01,1,8,0,5,0,2.8,00002
00023,00126,2021-10-26,1,1,7,7,0,3.2,00002
00024,00866,2021-04-22,5,0,9,7,7,5.6,00002
00025,00023,2021-07-29,0,10,2,10,2,4.8,00002
00026,00464,2021-11-27,1,3,8,8,0,4.0,00002
00027,00190,2021-08-02,0,10,9,7,0,5.2,00002
00028,00078,2021-08-15,7,9,10,8,5,7.8,00002
00029,00645,2021-08-17,9,2,10,2,4,5.4,00002
00030,00240,2021-10-04,3,7,6,6,4,5.2,00002
00031,00353,2021-04-15,6,4,6,4,8,5.6,00002
00032,00743,2021-03-17,5,1,3,7,8,4.8,00002
00033,00538,2021-03-09,6,5,0,2,8,4.2,00002
00034,00678,2021-04-28,5,2,3,3,4,3.4,00002
00035,00933,2021-09-07,5,3,6,6,6,5.2,00002
00036,00682,2021-10-09,10,1,1,4,5,4.2,00002
00037,00957,2021-07-24,6,4,6,8,6,6.0,00002
00038,00827,2021-02-26,10,7,9,4,5,7.0,00002
00039,00072,2021-03-29,4,1,9,5,9,5.6,00002
00040,00317,2021-06-06,4,5,3,1,6,3.8,00002
00041,00359,2021-06-04,5,2,10,6,2,5.0,00002
00042,00499,2021-03-08,6,4,1,3,10,4.8,00002
00043,00694,2021-09-01,2,10,9,1,3,5.0,00002
00044,00753,2021-05-03,10,0,8,4,8,6.0,00002
00045,00273,2021-08-06,5,2,10,9,2,5.6,00002
00046,00456,2021-02-16,1,4,4,1,7,3.4,00002
00047,00246,2021-05-12,5,10,6,2,9,6.4,00002
00048,00013,2021-10-24,9,1,4,2,1,3.4,00002
00049,00622,2021-05-23,5,0,0,10,5,4.0,00002
00050,00288,2021-06-17,4,8,4,5,9,6.0,00002
00051,00903,2021-09-04,7,3,3,4,7,4.8,00002
00052,00201,2021-11-02,2,6,9,2,1,4.0,00002
00053,00947,2021-10-05,0,7,0,3,9,3.8,00002
00054,00014,2021-03-29,1,9,8,1,8,5.4,00002
00055,00446,2021-03-03,10,3,9,3,4,5.8,00002
00056,00183,2021-06-03,9,2,2,1,6,4.0,00002
00057,00176,2021-07-31,3,10,3,4,3,4.6,00002
00058,00394,2021-05-02,7,3,3,1,7,4.2,00002
00059,00291,2021-08-06,4,6,4,5,4,4.6,00002
00060,00455,2021-03-02,8,5,5,6,1,5.0,00002
00061,00946,2021-11-04,7,7,3,9,2,5.6,00002
00062,00668,2021-06-04,1,8,6,4,6,5.0,00002
00063,00855,2021-06-03,9,0,3,6,8,5.2,00002
00064,00992,2021-07-02,4,7,6,2,6,5.0,00002
00065,00751,2021-04-11,5,3,4,4,6,4.4,00002
00066,00824,2021-04-03,7,1,10,1,6,5.0,00002
00067,00573,2021-04-29,7,1,10,5,7,6.0,00002
00068,00811,2021-04-21,9,8,3,4,4,5.6,00002
00069,00754,2021-09-19,1,10,0,1,8,4.0,00002
00070,00115,2021-03-20,10,6,4,10,9,7.8,00002
00071,00158,2021-05-16,7,4,4,9,10,6.8,00002
00072,00615,2021-07-16,3,10,7,0,9,5.8,00002
00073,00234,2021-02-22,9,4,1,3,4,4.2,00002
00074,00092,2021-11-23,10,6,2,7,10,7.0,00002
00075,00475,2021-11-26,10,4,0,4,6,4.8,00002
00076,00276,2021-07-16,5,2,3,9,6,5.0,00002
00077,00707,2021-08-12,3,5,4,9,5,5.2,00002
00078,00486,2021-10-14,2,3,4,1,9,3.8,00002
00079,00325,2021-10-29,4,1,9,4,10,5.6,00002
00080,00281,2021-06-22,7,10,8,6,9,8.0,00002
00081,00839,2021-08-23,2,4,10,3,10,5.8,00002
00082,00716,2021-03-30,0,9,10,9,9,7.4,00002
00083,00697,2021-08-31,8,7,0,1,10,5.2,00002
00084,00503,2021-02-22,5,8,10,1,2,5.2,00002
00085,00744,2021-11-19,3,3,0,3,1,2.0,00002
00086,00630,2021-03-15,2,6,6,2,1,3.4,00002
00087,00996,2021-05-03,9,0,4,8,6,5.4,00002
00088,00397,2021-05-09,7,5,0,8,9,5.8,00002
00089,00286,2021-06-27,9,2,6,3,0,4.0,00002
00090,00142,2021-03-24,10,3,9,4,0,5.2,00002
00091,00984,2021-06-04,0,5,0,3,3,2.2,00002
00092,00074,2021-06-27,2,5,0,4,6,3.4,00002
00093,00822,2021-09-20,4,10,6,7,0,5.4,00002
00094,00413,2021-04-16,0,4,0,3,1,1.6,00002
00095,00918,2021-03-11,6,3,2,2,6,3.8,00002
00096,00430,2021-08-24,4,9,6,2,1,4.4,00002
00097,00790,2021-10-10,0,10,7,5,9,6.2,00002
00098,00692,2021-10-28,8,3,10,8,9,7.6,00002
00099,00726,2021-05-14,7,4,2,1,7,4.2,00002
